id,Generation,origin_time,destruction_time,Lifespan,Sex_check,Gnm_Len,sequence,ancestor_list
66,7,262,328,66,0,34,"['EY', '1', 'AA', '7', 'EQ', 'AP', 'BR', 'AF', 'BM', 'AF', '1', 'AD', 'FA', 'EU', '4', 'DL', 'ED', '15', 'ER', 'AP', 'DS', 'BQ', 'AF', 'DS', 'BQ', 'AF', '2', 'EQ', 'DP', 'AP', 'BM', 'AF', 'BM', 'AF']",['32']
67,12,266,418,152,0,34,"['EY', '1', 'AA', '7', 'EQ', 'AP', 'BR', 'AF', 'BM', 'AF', '1', 'AD', 'FA', 'EU', '4', 'DL', 'ED', '15', 'ER', 'AP', 'DS', 'BQ', 'AF', 'DS', 'BQ', 'AF', '2', 'EQ', 'DP', 'AP', 'BM', 'AF', 'BM', 'AF']",['54']
68,5,267,268,1,0,34,"['EY', '1', 'AA', '7', 'EQ', 'AP', 'BR', 'AF', 'BM', 'AF', '1', 'AD', 'FA', 'EU', '4', 'DL', 'ED', '15', 'ER', 'AP', 'DS', 'BQ', 'AF', 'DS', 'BQ', 'AF', '2', 'EQ', 'DP', 'AP', 'BM', 'AF', 'BM', 'AF']",['35']
69,5,267,281,14,0,34,"['EY', '1', 'AA', '7', 'EQ', 'AP', 'BR', 'AF', 'BM', 'AF', '1', 'AD', 'FA', 'EU', '4', 'DL', 'ED', '15', 'ER', 'AP', 'DS', 'BQ', 'AF', 'DS', 'BQ', 'AF', '2', 'EQ', 'DP', 'AP', 'BM', 'AF', 'BM', 'AF']",['57']
70,10,271,290,19,0,34,"['EY', '1', 'AA', '7', 'EQ', 'AP', 'BR', 'AF', 'BM', 'AF', '1', 'AD', 'FA', 'EU', '4', 'DL', 'ED', '15', 'ER', 'AP', 'DS', 'BQ', 'AF', 'DS', 'BQ', 'AF', '2', 'EQ', 'DP', 'AP', 'BM', 'AF', 'BM', 'AF']",['37']
71,3,272,452,180,0,34,"['EY', '1', 'AA', '7', 'EQ', 'AP', 'BR', 'AF', 'BM', 'AF', '1', 'AD', 'FA', 'EU', '4', 'DL', 'ED', '15', 'ER', 'AP', 'DS', 'BQ', 'AF', 'DS', 'BQ', 'AF', '2', 'EQ', 'DP', 'AP', 'BM', 'AF', 'BM', 'AF']",['6']
72,3,272,442,170,0,34,"['EY', '1', 'AA', '7', 'EQ', 'AP', 'BR', 'AF', 'BM', 'AF', '1', 'AD', 'FA', 'EU', '4', 'DL', 'ED', '15', 'ER', 'AP', 'DS', 'BQ', 'AF', 'DS', 'BQ', 'AF', '2', 'EQ', 'DP', 'AP', 'BM', 'AF', 'BM', 'AF']",['23']
73,3,272,286,14,0,34,"['EY', '1', 'AA', '7', 'EQ', 'AP', 'BR', 'AF', 'BM', 'AF', '1', 'AD', 'FA', 'EU', '4', 'DL', 'ED', '15', 'ER', 'AP', 'DS', 'BQ', 'AF', 'DS', 'BQ', 'AF', '2', 'EQ', 'DP', 'AP', 'BM', 'AF', 'BM', 'AF']",['22']
74,3,272,286,14,0,34,"['EY', '1', 'AA', '7', 'EQ', 'AP', 'BR', 'AF', 'BM', 'AF', '1', 'AD', 'FA', 'EU', '4', 'DL', 'ED', '15', 'ER', 'AP', 'DS', 'BQ', 'AF', 'DS', 'BQ', 'AF', '2', 'EQ', 'DP', 'AP', 'BM', 'AF', 'BM', 'AF']",['41']
75,3,272,348,76,0,34,"['EY', '1', 'AA', '7', 'EQ', 'AP', 'BR', 'AF', 'BM', 'AF', '1', 'AD', 'FA', 'EU', '4', 'DL', 'ED', '15', 'ER', 'AP', 'DS', 'BQ', 'AF', 'DS', 'BQ', 'AF', '2', 'EQ', 'DP', 'AP', 'BM', 'AF', 'BM', 'AF']",['64']
76,8,276,285,9,0,38,"['EY', '1', 'AA', '7', 'EQ', 'AP', 'BR', 'AF', 'BM', 'AF', '1', 'AD', '-73', 'EE', 'BD', 'AP', 'FA', 'EU', '4', 'DL', 'ED', '15', 'ER', 'AP', 'DS', 'BQ', 'AF', 'DS', 'BQ', 'AF', '2', 'EQ', 'DP', 'AP', 'BM', 'AF', 'BM', 'AF']",['25']
