308592 308350 308350 304:[20003, 20011]
308591 308232 308232 282:[20003, 20066]
308590 308098 308098 282:[20003, 20003]
308589 307829 307829 306:[20003, 20012]
308588 307674 307674 268:[20003, 20025]
308587 307145 307145 291:[20003, 20021]
308586 306542 306542 245:[20003, 20004]
308602 308492 308492 285:[20004, 20004]
308601 308482 308482 291:[20004, 20043]
308600 308497 308484 291:[20004, 20092]
308599 308374 308374 285:[20004, 20019]
308598 308376 308376 285:[20004, 20275]
308597 308224 308224 307:[20004, 20004]
308596 308107 308107 285:[20004, 20032]
308613 308506 308505 289:[20005, 20051]
308612 308500 308500 307:[20005, 20005]
308611 308501 308501 290:[20005, 20005]
308610 308381 308381 285:[20005, 20005]
308609 308378 308378 307:[20005, 20067]
308608 308215 308215 285:[20005, 20137]
308607 307847 307847 285:[20005, 20013]
308606 307703 307703 286:[20005, 20017]
308605 307248 307248 285:[20005, 20005]
308604 307156 307156 284:[20005, 20317]
308603 306273 306273 287:[20005, 20558]
308620 308510 308510 306:[20006, 20032]
308619 308513 308513 289:[20006, 20010]
308618 308253 308253 285:[20006, 20108]
308617 308192 308192 285:[20006, 20031]
308616 308194 308194 306:[20006, 20031]
308615 307982 307982 277:[20006, 20167]
308614 307680 307680 306:[20006, 20018]
308628 308517 308517 303:[20007, 20019]
308627 308372 308372 303:[20007, 20050]
308626 308258 308258 294:[20007, 20051]
308625 308259 308259 284:[20007, 20041]
308624 308134 308134 294:[20007, 20007]
308623 307993 307993 281:[20007, 20013]
308622 305572 305572 280:[20007, 20024]
308621 305218 305218 267:[20007, 20012]
308637 308523 308523 310:[20008, 20013]
308636 308404 308404 280:[20008, 20054]
308635 308395 308395 302:[20008, 20008]
308634 308264 308264 291:[20008, 20213]
308633 308013 308119 285:[20008, 20053]
308632 308221 308076 248:[20008, 20104]
308631 307123 307123 285:[20008, 20056]
308630 306968 306968 290:[20008, 20015]
308629 305733 305733 303:[20008, 20031]
308646 308400 308400 302:[20009, 20128]
308645 308120 308120 306:[20009, 20009]
308644 308077 308077 248:[20009, 20039]
308643 308005 308005 280:[20009, 20039]
308642 308536 307295 284:[20009, 20019]
308641 307136 307136 276:[20009, 20196]
308640 306831 306827 288:[20009, 20010]
308639 307125 305763 276:[20009, 20145]
308638 302833 302833 261:[20009, 20029]
308657 308544 308544 306:[20010, 20013]
308656 308545 308545 289:[20010, 20024]
308655 308414 308414 293:[20010, 20049]
308654 308420 308420 288:[20010, 20148]
308653 308390 308390 308:[20010, 20037]
308652 308165 308165 288:[20010, 20042]
308651 307885 307885 288:[20010, 20057]
308650 307390 307390 303:[20010, 20017]
308649 306991 306991 284:[20010, 20027]
308648 308516 305182 285:[20010, 20067]
308647 303794 303794 301:[20010, 20013]
308662 308290 308290 280:[20011, 20049]
308661 308295 308295 281:[20011, 20011]
308660 308272 308272 306:[20011, 20023]
308659 307646 307646 284:[20011, 20018]
308658 306580 306580 306:[20011, 20231]
308666 308557 308557 287:[20012, 20065]
308665 308558 308558 306:[20012, 20068]
308664 308301 308301 288:[20012, 20029]
308663 307806 307806 289:[20012, 20027]
308671 308129 308412 258:[20013, 20020]
308670 308410 308410 287:[20013, 20156]
308669 308244 308244 306:[20013, 20049]
308668 308417 308162 301:[20013, 20125]
308667 305235 305235 302:[20013, 20032]
308680 308571 308571 287:[20014, 20014]
308679 308450 308450 284:[20014, 20015]
308678 308419 308419 247:[20014, 20390]
308677 308313 308313 288:[20014, 20020]
308676 308197 308197 291:[20014, 20015]
308675 307721 307721 301:[20014, 20026]
308674 307250 307250 309:[20014, 20097]
308673 307202 307202 284:[20014, 20023]
308672 306863 306137 283:[20014, 20209]
308684 308329 308329 282:[20015, 20017]
308683 307505 307505 279:[20015, 20352]
308682 307347 307347 279:[20015, 20040]
308681 305979 305979 242:[20015, 20021]
308691 308332 308332 282:[20016, 20032]
308690 307987 308327 308:[20016, 20017]
308689 308314 308314 305:[20016, 20016]
308688 308064 308064 292:[20016, 20041]
308687 308040 308040 305:[20016, 20050]
308686 307038 307038 288:[20016, 20037]
308685 307520 306456 286:[20016, 20148]
308697 307555 308606 287:[20017, 20096]
308696 308209 308613 290:[20017, 20109]
308695 307950 307950 302:[20017, 20027]
308694 307798 307798 283:[20017, 20236]
308693 307652 307652 275:[20017, 20017]
308692 306739 306739 287:[20017, 20038]
308704 308604 308604 285:[20018, 20036]
308703 308441 308441 307:[20018, 20039]
308702 307194 308355 290:[20018, 20027]
308701 308346 308346 286:[20018, 20023]
308700 308220 308220 290:[20018, 20031]
308699 308152 308152 246:[20018, 20041]
308698 308347 307227 282:[20018, 20080]
308715 308616 308616 307:[20019, 20024]
308714 308620 308620 307:[20019, 20029]
308713 308488 308488 287:[20019, 20020]
308712 308448 308448 232:[20019, 20043]
308711 308087 308087 290:[20019, 20323]
308710 308087 308087 290:[20019, 20047]
308709 308093 308093 291:[20019, 20019]
308708 307544 307544 283:[20019, 20047]
308707 305840 305840 300:[20019, 20064]
308706 305680 305680 279:[20019, 20032]
308705 304711 304711 282:[20019, 20182]
308724 308472 308472 293:[20020, 20022]
308723 308357 308357 291:[20020, 20020]
308722 308360 308360 291:[20020, 20100]
308721 308228 308228 278:[20020, 20074]
308720 308238 308238 289:[20020, 20020]
308719 307828 307828 287:[20020, 20098]
308718 307829 307829 306:[20020, 20064]
308717 307831 307831 282:[20020, 20074]
308716 307675 307675 281:[20020, 20032]
308736 303668 308638 262:[20021]
308735 308627 308627 304:[20021, 20023]
308734 307635 308381 285:[20021, 20149]
308733 308350 308350 304:[20021, 20136]
308732 308634 308178 289:[20021, 20149]
308731 308105 308105 286:[20021, 20021]
308730 308107 308107 285:[20021, 20110]
308729 308631 307703 286:[20021, 20107]
308728 307556 307556 289:[20021, 20115]
308727 307083 307083 282:[20021, 20115]
308726 306703 306703 245:[20021, 20022]
308725 308636 305205 285:[20021, 20037]
308742 308643 308643 281:[20022, 20056]
308741 308484 308500 307:[20022, 20139]
308740 308501 308501 290:[20022, 20022]
308739 308497 308497 303:[20022, 20112]
308738 308224 308224 307:[20022, 20026]
308737 305302 305302 256:[20022, 20056]
308755 308653 308653 309:[20023, 20185]
308754 308652 308518 289:[20023, 20027]
308753 308512 308512 281:[20023, 20041]
308752 308215 308499 285:[20023, 20035]
308751 308485 308485 309:[20023, 20029]
308750 308378 308378 307:[20023, 20031]
308749 308340 308340 291:[20023, 20046]
308748 308342 308342 245:[20023, 20265]
308747 307891 307891 265:[20023, 20091]
308746 307569 307569 289:[20023, 20037]
308745 307430 307430 289:[20023, 20036]
308744 307156 307156 284:[20023, 20023]
308743 308656 307097 301:[20023, 20027]
308760 308258 308258 294:[20024, 20032]
308759 308134 308134 294:[20024, 20024]
308758 307993 307993 281:[20024, 20037]
308757 305321 305321 231:[20024, 20041]
308756 305218 305218 267:[20024, 20029]
308761 306968 306968 290:[20025, 20033]
308768 308532 308532 288:[20026, 20060]
308767 308523 308523 310:[20026, 20067]
308766 308517 308517 303:[20026, 20040]
308765 308395 308395 302:[20026, 20064]
308764 308236 308236 287:[20026, 20026]
308763 308069 308069 290:[20026, 20031]
308762 306978 306978 283:[20026, 20026]
308779 308545 308545 289:[20027, 20027]
308778 308510 308510 306:[20027, 20055]
308777 308413 308413 293:[20027, 20049]
308776 308221 308221 244:[20027, 20043]
308775 308194 308194 306:[20027, 20048]
308774 307885 307885 288:[20027, 20144]
308773 307888 307888 280:[20027, 20027]
308772 308128 307390 303:[20027, 20031]
308771 306990 306990 288:[20027, 20131]
308770 306993 306993 284:[20027, 20061]
308769 306227 306227 284:[20027, 20070]
308784 308544 308544 306:[20028, 20028]
308783 308222 308222 290:[20028, 20101]
308782 308165 308165 288:[20028, 20263]
308781 308077 308077 248:[20028, 20062]
308780 303794 303794 301:[20028, 20031]
308790 308685 308685 287:[20029, 20382]
308789 308686 308686 289:[20029, 20057]
308788 308678 308678 248:[20029, 20075]
308787 307646 307646 284:[20029, 20113]
308786 306580 306580 306:[20029, 20128]
308785 288346 288346 260:[20029]
308795 308432 308704 286:[20030, 20398]
308794 308696 308696 291:[20030, 20212]
308793 307907 307907 284:[20030, 20049]
308792 307886 307886 303:[20030, 20048]
308791 307482 307482 290:[20030, 20030]
308801 308450 308708 284:[20031, 20048]
308800 308454 308711 291:[20031, 20066]
308799 308700 308700 291:[20031, 20034]
308798 308056 308056 292:[20031, 20031]
308797 305235 305235 302:[20031, 20066]
308796 304571 304571 302:[20031, 20053]
308810 308705 308705 283:[20032, 20049]
308809 308707 308707 301:[20032, 20239]
308808 308585 308585 292:[20032, 20032]
308807 308329 308329 282:[20032, 20049]
308806 308197 308197 291:[20032, 20130]
308805 307783 307783 282:[20032, 20036]
308804 307785 307785 287:[20032, 20032]
308803 307575 307575 301:[20032, 20049]
308802 306937 306937 305:[20032, 20047]
308818 308721 308721 279:[20033, 20039]
308817 308692 308692 288:[20033, 20044]
308816 308593 308593 292:[20033, 20033]
308815 308594 308594 288:[20033, 20179]
308814 308556 308556 229:[20033, 20272]
308813 308466 308466 286:[20033, 20044]
308812 308203 308203 292:[20033, 20288]
308811 307038 307038 288:[20033, 20081]
308824 308728 308728 290:[20034, 20077]
308823 304703 308478 286:[20034, 20290]
308822 308314 308314 305:[20034, 20049]
